product_id,product_name,category,brand,price
1,HarperCollins Premium Biography,Books,HarperCollins,21.77
2,L'Oreal Plus Shampoo,Beauty,L'Oreal,134.26
3,Zara Deluxe Sneakers,Clothing,Zara,34.78
4,Scholastic Plus Journal,Books,Scholastic,40.83
5,Heinz Plus Pasta Sauce,Grocery,Heinz,14.19
6,Bose Premium Monitor,Electronics,Bose,1964.49
7,L'Oreal Premium Perfume,Beauty,L'Oreal,43.74
8,Hasbro Pro RC Car,Toys,Hasbro,80.04
9,Under Armour Mini Running Shoes,Sports Equipment,Under Armour,160.49
10,Levi's Smart Sneakers,Clothing,Levi's,107.87
11,Simon & Schuster Classic Biography,Books,Simon & Schuster,50.75
12,HP Plus Laptop,Electronics,HP,899.79
13,Simon & Schuster Essential Novel,Books,Simon & Schuster,56.57
14,Fisher-Price Smart Puzzle,Toys,Fisher-Price,28.78
15,Mattel Ultra Building Set,Toys,Mattel,22.83
16,Nivea Mini Lipstick,Beauty,Nivea,53.79
17,Apple Smart Tablet,Electronics,Apple,625.15
18,Nivea Ultra Serum,Beauty,Nivea,143.63
19,IKEA Plus Toaster,Home & Kitchen,IKEA,342.31
20,Adidas Plus Jacket,Clothing,Adidas,34.83
21,Nivea Essential Shampoo,Beauty,Nivea,65.8
22,Dyson Plus Air Fryer,Home & Kitchen,Dyson,413.03
23,Scholastic Max Cookbook,Books,Scholastic,16.35
24,Nike Ultra Running Shoes,Sports Equipment,Nike,180.09
25,IKEA Ultra Air Fryer,Home & Kitchen,IKEA,212.04
26,Mattel Essential Action Figure,Toys,Mattel,15.15
27,Kraft Classic Juice,Grocery,Kraft,27.66
28,Puma Pro Dress,Clothing,Puma,84.71
29,Instant Pot Mini Cookware Set,Home & Kitchen,Instant Pot,264.9
30,Spalding Premium Yoga Mat,Sports Equipment,Spalding,17.83
31,Levi's Ultra T-Shirt,Clothing,Levi's,50.16
32,Nerf Essential Doll,Toys,Nerf,87.66
33,Apple Pro Smartphone,Electronics,Apple,1077.68
34,HarperCollins Premium Cookbook,Books,HarperCollins,24.01
35,Zara Smart T-Shirt,Clothing,Zara,179.74
36,Nike Deluxe Dress,Clothing,Nike,193.51
37,Neutrogena Deluxe Serum,Beauty,Neutrogena,110.69
38,Kraft Classic Cereal,Grocery,Kraft,31.32
39,General Mills Essential Snack Bar,Grocery,General Mills,35.25
40,Dyson Max Coffee Maker,Home & Kitchen,Dyson,414.22
41,Instant Pot Premium Cookware Set,Home & Kitchen,Instant Pot,238.94
42,Dyson Premium Air Fryer,Home & Kitchen,Dyson,146.77
43,Adidas Pro Basketball,Sports Equipment,Adidas,102.37
44,Samsung Premium Laptop,Electronics,Samsung,423.84
45,Maybelline Max Shampoo,Beauty,Maybelline,57.4
46,H&M Pro Hoodie,Clothing,H&M,35.34
47,Under Armour Premium Basketball,Sports Equipment,Under Armour,188.28
48,Nestle Deluxe Snack Bar,Grocery,Nestle,46.46
49,Gap Smart Hoodie,Clothing,Gap,98.4
50,Kellogg's Pro Juice,Grocery,Kellogg's,23.62
51,Hasbro Classic RC Car,Toys,Hasbro,45.28
52,Hasbro Pro Action Figure,Toys,Hasbro,27.18
53,IKEA Pro Vacuum,Home & Kitchen,IKEA,75.3
54,Kraft Ultra Snack Bar,Grocery,Kraft,7.54
55,Instant Pot Smart Cookware Set,Home & Kitchen,Instant Pot,29.42
56,Adidas Pro Basketball,Sports Equipment,Adidas,208.97
57,Dove Premium Face Cream,Beauty,Dove,115.26
58,Samsung Smart Speaker,Electronics,Samsung,1142.69
59,Dyson Smart Blender,Home & Kitchen,Dyson,462.07
60,Dyson Max Vacuum,Home & Kitchen,Dyson,493.39
61,Kellogg's Plus Juice,Grocery,Kellogg's,24.62
62,Mattel Ultra RC Car,Toys,Mattel,99.97
63,Dell Deluxe Smartphone,Electronics,Dell,1487.23
64,Mattel Classic Building Set,Toys,Mattel,32.06
65,IKEA Mini Air Fryer,Home & Kitchen,IKEA,337.28
66,Spalding Premium Running Shoes,Sports Equipment,Spalding,235.08
67,Kellogg's Ultra Pasta Sauce,Grocery,Kellogg's,22.32
68,Under Armour Smart Basketball,Sports Equipment,Under Armour,113.46
69,Fisher-Price Classic Board Game,Toys,Fisher-Price,12.9
70,Simon & Schuster Essential Novel,Books,Simon & Schuster,29.96
71,Dyson Essential Cookware Set,Home & Kitchen,Dyson,311.35
72,Kraft Classic Cereal,Grocery,Kraft,9.09
73,Lenovo Premium Laptop,Electronics,Lenovo,456.73
74,HP Pro Camera,Electronics,HP,301.83
75,Wilson Essential Basketball,Sports Equipment,Wilson,51.24
76,Nivea Classic Lipstick,Beauty,Nivea,143.96
77,Hasbro Pro Board Game,Toys,Hasbro,5.4
78,Heinz Premium Cereal,Grocery,Heinz,5.17
79,Cuisinart Plus Vacuum,Home & Kitchen,Cuisinart,383.68
80,Kraft Plus Coffee,Grocery,Kraft,31.23
81,Scholastic Premium Novel,Books,Scholastic,51.28
82,General Mills Mini Pasta Sauce,Grocery,General Mills,29.07
83,Kellogg's Smart Juice,Grocery,Kellogg's,9.9
84,Levi's Essential Jeans,Clothing,Levi's,148.96
85,IKEA Max Coffee Maker,Home & Kitchen,IKEA,490.6
86,LG Classic Speaker,Electronics,LG,1337.83
87,Nivea Pro Face Cream,Beauty,Nivea,29.52
88,HP Pro Laptop,Electronics,HP,548.48
89,Lenovo Plus Headphones,Electronics,Lenovo,695.64
90,Puma Plus Jeans,Clothing,Puma,170.31
91,Adidas Classic Running Shoes,Sports Equipment,Adidas,222.92
92,Nivea Plus Lipstick,Beauty,Nivea,11.68
93,Dove Mini Serum,Beauty,Dove,130.28
94,Neutrogena Max Face Cream,Beauty,Neutrogena,41.9
95,Kraft Pro Pasta Sauce,Grocery,Kraft,2.3
96,IKEA Pro Cookware Set,Home & Kitchen,IKEA,286.65
97,Mattel Deluxe RC Car,Toys,Mattel,43.15
98,Dove Classic Shampoo,Beauty,Dove,46.15
99,Maybelline Mini Shampoo,Beauty,Maybelline,135.17
100,LEGO Premium Board Game,Toys,LEGO,48.33
101,Bose Ultra Headphones,Electronics,Bose,450.0
102,Nerf Mini Doll,Toys,Nerf,16.48
103,General Mills Ultra Juice,Grocery,General Mills,42.88
104,Dell Ultra Speaker,Electronics,Dell,1515.73
105,Puma Ultra Sneakers,Clothing,Puma,136.66
106,Fisher-Price Plus RC Car,Toys,Fisher-Price,26.57
107,Zara Max T-Shirt,Clothing,Zara,56.54
108,IKEA Plus Coffee Maker,Home & Kitchen,IKEA,52.63
109,Spalding Smart Yoga Mat,Sports Equipment,Spalding,115.28
110,HarperCollins Essential Cookbook,Books,HarperCollins,26.8
111,Puma Pro Jeans,Clothing,Puma,93.95
112,Wilson Smart Basketball,Sports Equipment,Wilson,53.86
113,Simon & Schuster Deluxe Biography,Books,Simon & Schuster,22.71
114,Nerf Essential RC Car,Toys,Nerf,74.03
115,Nerf Mini RC Car,Toys,Nerf,98.26
116,Zara Deluxe Dress,Clothing,Zara,154.63
117,Under Armour Pro Yoga Mat,Sports Equipment,Under Armour,110.18
118,Spalding Ultra Basketball,Sports Equipment,Spalding,103.99
119,General Mills Smart Snack Bar,Grocery,General Mills,27.5
120,Sony Plus Monitor,Electronics,Sony,1304.73
121,General Mills Pro Cereal,Grocery,General Mills,6.52
122,HarperCollins Deluxe Guidebook,Books,HarperCollins,30.44
123,Wilson Classic Basketball,Sports Equipment,Wilson,271.01
124,Wilson Pro Basketball,Sports Equipment,Wilson,108.4
125,Mattel Max Doll,Toys,Mattel,24.59
126,Kraft Max Snack Bar,Grocery,Kraft,14.23
127,Wilson Smart Running Shoes,Sports Equipment,Wilson,150.5
128,Scholastic Pro Journal,Books,Scholastic,15.74
129,Levi's Plus Jeans,Clothing,Levi's,165.48
130,Wilson Ultra Running Shoes,Sports Equipment,Wilson,87.12
131,Apple Plus Speaker,Electronics,Apple,917.21
132,HP Premium Laptop,Electronics,HP,895.45
133,Penguin Classic Cookbook,Books,Penguin,46.43
134,Scholastic Classic Journal,Books,Scholastic,53.71
135,Nike Deluxe Basketball,Sports Equipment,Nike,144.51
136,Fisher-Price Max Action Figure,Toys,Fisher-Price,81.75
137,IKEA Pro Toaster,Home & Kitchen,IKEA,484.65
138,Nike Essential Shorts,Clothing,Nike,160.33
139,IKEA Plus Cookware Set,Home & Kitchen,IKEA,74.52
140,Bose Max Laptop,Electronics,Bose,1253.62
141,HarperCollins Max Biography,Books,HarperCollins,55.53
142,IKEA Pro Coffee Maker,Home & Kitchen,IKEA,241.68
143,Zara Essential Shorts,Clothing,Zara,148.64
144,Nestle Mini Juice,Grocery,Nestle,37.02
145,Mattel Premium Puzzle,Toys,Mattel,88.28
146,Adidas Ultra Jacket,Clothing,Adidas,157.34
147,Bose Plus Speaker,Electronics,Bose,487.95
148,LG Mini Camera,Electronics,LG,639.02
149,Wilson Plus Dumbbell Set,Sports Equipment,Wilson,274.44
150,Nike Classic Dumbbell Set,Sports Equipment,Nike,167.9
151,Wilson Classic Basketball,Sports Equipment,Wilson,192.55
152,Dove Essential Perfume,Beauty,Dove,105.39
153,Nerf Deluxe Board Game,Toys,Nerf,98.25
154,Dove Smart Shampoo,Beauty,Dove,42.12
155,Fisher-Price Pro Board Game,Toys,Fisher-Price,97.2
156,L'Oreal Smart Perfume,Beauty,L'Oreal,76.9
157,HarperCollins Pro Novel,Books,HarperCollins,8.59
158,Zara Classic Shorts,Clothing,Zara,34.1
159,Penguin Smart Novel,Books,Penguin,28.19
160,Kellogg's Max Coffee,Grocery,Kellogg's,37.99
161,Heinz Deluxe Pasta Sauce,Grocery,Heinz,33.62
162,L'Oreal Max Serum,Beauty,L'Oreal,115.69
163,Zara Ultra Hoodie,Clothing,Zara,113.36
164,Simon & Schuster Plus Novel,Books,Simon & Schuster,46.38
165,Fisher-Price Deluxe Doll,Toys,Fisher-Price,57.61
166,KitchenAid Pro Toaster,Home & Kitchen,KitchenAid,80.7
167,HP Plus Laptop,Electronics,HP,243.83
168,Fisher-Price Plus Action Figure,Toys,Fisher-Price,16.61
169,H&M Premium Jacket,Clothing,H&M,175.75
170,Hasbro Deluxe Building Set,Toys,Hasbro,81.2
171,Nivea Premium Serum,Beauty,Nivea,142.38
